"","validationtext","y_val","predictions"
"1","him getting wonded in france",0,0.00533083081245422
"2","he was wounded while being in france",0,0.0239070057868958
"3","so she could see him and make him happy",1,0.787141799926758
"4","he as near his granny vilage",1,0.976372361183167
"5","he was brought closer to his grannie",1,0.9859898686409
"6","it brought him close to that small town",0,0.0418755412101746
"7","it made him want to visit and see his gran",0,0.965242624282837
"8","to show you that when he's still older he still loves her",0,0.884971380233765
"9","he was put in a small town where she was living still",1,0.995091795921326
"10","he had been brought close to his granny",1,0.975963473320007
"11","he ended up in hospital in the same small town where she lived",1,0.999811172485352
"12","to write",0,0.0179210603237152
"13","happiness",0,0.022345095872879
"14","was wounded while in france",0,0.00290566682815552
"15","he asked his granni to visit",0,0.363469064235687
"16","it made you give symapthy",0,0.0325526893138885
"17","broke",0,0.0287076830863953
"18","it brought him back to his grannie",1,0.97736132144928
"19","he ended up in a town near his grannies old town he called her",1,0.974301993846893
"20","that he ended up near his gran",1,0.986992716789246
"21","back home in the hospitail",1,0.94145929813385
"22","war broke out",0,0.00364148616790771
"23","it brought him closer to her",1,0.932159662246704
"24","that it is very sad",0,0.00825434923171997
"25","he was close to where granny lived so he asked her to visit him",1,0.943752110004425
"26","it makes him see his grannie again",1,0.955628156661987
"27","it let him get close to his grannie again",1,0.983104109764099
"28","that he could't go home",0,0.986793518066406
"29","that the boy was getting injured becuse he whent into the war",0,0.046885073184967
"30","that his grannie was very small",0,0.0878502130508423
"31","it had brought him closer to where she was living",1,0.998986482620239
"32","he was in a hospital near where his granny lived",1,0.999771595001221
"33","back home in hospital and brought him close to that small town where his grannie was living still",1,0.990313172340393
"34","it brought him near the town where his granny was living",1,0.999478042125702
"35","when he went home and he was in hospital and still lame wonded while in france",1,0.0259818732738495
"36","the effect was sadness",0,0.00989142060279846
"37","that he was in a hospital near home",1,0.998349189758301
"38","he could finally see his grannie again",1,0.977997243404388
"39","so he remembers what it was like with his granny",0,0.171184509992599
"40","you know that he was older",0,0.0186130702495575
"41","he was taken to a hospital near where his grannie lived",1,0.999903440475464
"42","broke out and became a solder",0,0.00798645615577698
"43","it had brought him back near to the town where his granny stilled lived",1,0.999794185161591
"44","not seeing his granny",0,0.056057870388031
"45","he was wounded while in france",0,0.00317975878715515
"46","grannie was small so small",0,0.0197870433330536
"47","the poem went happy to sad when he got injured",0,0.01003697514534
"48","realising that his grannie did so much for him",0,0.0291454195976257
"49","one effect is getting injured in france and going back home",1,0.984984159469604
"50","he realised the circumstances",0,0.00938192009925842
"51","getting to see his grannie",1,0.939191281795502
"52","he went to a hospital in france",1,0.29733994603157
"53","that circumstance had brought him close to that small town where is grannie was still living",1,0.997147917747498
"54","it says the word wounded",0,0.00466638803482056
"55","he went back to grannie's house",1,0.962576568126678
"56","his grannie came to see him",1,0.947045087814331
"57","he was able to see granny",1,0.954713702201843
"58","he didn't get to see his grannie that often",0,0.903058171272278
"59","grannie looked very small",0,0.0680848062038422
"60","people had to go hospital",0,0.977455258369446
"61","it brought him closer to grannie",1,0.951206684112549
"62","he got to visit his grannie",1,0.925979614257812
"63","it made the poem sound sad",0,0.00231853127479553
"64","he got closer too grannie's town",1,0.962892353534698
"65","the poet ended up where his granny lived",1,0.999285221099854
"66","it had brought him to the hospital where his grannie lives",1,0.999826371669769
"67","a soldier and was wounded while in france",0,0.00163856148719788
"68","hostpital",0,0.0388209819793701
"69","home in hospital",1,0.985324382781982
"70","was wounded",0,0.00967767834663391
"71","he asked his grannie to visit him",0,0.898157060146332
"72","he came back to where his grandmother lived",1,0.999189436435699
"73","that they will be circomstances",0,0.0256060063838959
"74","he was close to his grandmother and she visited him",1,0.948217988014221
"75","wounded and lame",1,0.427384674549103
"76","he's in hospital still very lame",1,0.996664643287659
"77","he wanted his granny",0,0.0510101020336151
"78","he went back home",1,0.996319890022278
"79","he returned home in hospital injured",1,0.173452705144882
"80","he got to meet his grannie again",1,0.986423671245575
"81","so circumstances could bring him back to where his granny lived",1,0.999724090099335
"82","years later war broke out and i became a soldier and was wounded while in france back home in hospital",0,0.979902148246765
"83","it says that a solider and was wounded while in france",0,0.00168052315711975
"84","he couldn't visit grannie",0,0.306040585041046
"85","it says wounded",0,0.00847047567367554
"86","the circumstance brought his closer to grannie",1,0.972082197666168
"87","it brought him close to this grannies small town where she lived",1,0.999855875968933
"88","living near his grannie again",1,0.98680967092514
"89","he could write to grannie",0,0.0588345527648926
"90","had to go hospital",1,0.978402614593506
"91","that the hospital he was at was near his grannies",1,0.979349136352539
"92","it had brought him closer to his grannie",1,0.988368511199951
"93","because when he got injured he went to hospital near were she lived so she came to visit",1,0.98452091217041
