"","validationtext","y_val","predictions"
"1","it had brung him to a hospital close to were granny lived",1,0.999817252159119
"2","she srunk",0,0.0241445899009705
"3","tragic",0,0.0231228768825531
"4","he could of died",0,0.0473266243934631
"5","it brung him close to a small town where she was living still",1,0.99949038028717
"6","she became small tiny and frail like an old lady",0,0.029615044593811
"7","he was brought closer to his grannie",1,0.99798184633255
"8","it brought him closer to her",1,0.967362642288208
"9","he went to his old town and saw his grannie",1,0.997953951358795
"10","it brought him closer to the small town were she was still living",1,0.999480426311493
"11","scared",0,0.0317887663841248
"12","he gets to meet his grannie",1,0.99158787727356
"13","he didn't get to see his grannie that often",0,0.595572829246521
"14","brought him close to that small town",0,0.0445294678211212
"15","i was a soldier and was wounded while in france back home in hospital",0,0.999842762947083
"16","it says a soldier was wounded while in france",0,0.00366649031639099
"17","he was in hospital and was wounded",1,0.929700136184692
"18","he got to go home to near where his grannie lives",1,0.999995708465576
"19","that he couldn't walk",1,0.317286849021912
"20","years later a war broke out and i was a soldier and was wounded",0,0.0310119092464447
"21","the poet was able to meet his grannie again",1,0.996854424476624
"22","he was in hospital near where he used to live",1,0.999886929988861
"23","hes bin brought back home",1,0.997100830078125
"24","back in hospital very lame",1,0.999539375305176
"25","she was so weird",0,0.0249130427837372
"26","he was close to where granny lived so he asked her to visit him",1,0.9965740442276
"27","grannie had become very old",0,0.0401915907859802
"28","he was in the hospital in a small town where she was livin",1,0.999769032001495
"29","he did not get to see his grannie",0,0.995790541172028
"30","his memory wasn't as good as before",0,0.0602581202983856
"31","that he ended up near his gran",1,0.999699711799622
"32","that he was a soldier and there was a war",0,0.0170518159866333
"33","he asked his granni to visit",0,0.918097019195557
"34","when he went home and he was in hospital and still lame wonded while in france",1,0.0347672402858734
"35","the boy was in  the war he ask if is grany  him",0,0.029047429561615
"36","he could not stop thinking about his grannie",0,0.564530313014984
"37","it brought him close to this grannies small town where she lived",1,0.999987721443176
"38","to write a letter to his grannie to visit him",0,0.54821789264679
"39","that he was in the same town where his nan was living",1,0.999928951263428
"40","he went back to his grannie",1,0.99586433172226
"41","grannie was sad",0,0.0175736844539642
"42","it brought the poet and the grannie together again",1,0.0201247036457062
"43","it says wounded",0,0.0167162418365479
"44","to let grannie be there for him",0,0.0246603488922119
"45","they were close to that small town where grannie lived",1,0.999980449676514
"46","he was able to write to his gran",0,0.973446249961853
"47","he realised the circumstance had brought him close to where she lives",1,0.999571323394775
"48","he is in hospital",1,0.988020777702332
"49","he was hurt",0,0.0150187313556671
"50","the hostpotail was around where she lived",1,0.999033212661743
"51","he got to see grannie in hospital",1,0.999078273773193
"52","realising the circumstance",0,0.0103117525577545
"53","that he could see his granny again",1,0.99578320980072
"54","being a soldier",0,0.0229904353618622
"55","it had brought him close to that town where she was living still",1,0.999859929084778
"56","the poet saw his granne",1,0.461642116308212
"57","he had been seized",0,0.0263242125511169
"58","having to go to hospital",1,0.997438192367554
"59","the poet was excited because he was brought back to the same town his grannie was in",1,0.99823385477066
"60","going to hospital",1,0.982725083827972
"61","frightening",0,0.0331480801105499
"62","he got to see his gran",1,0.998851895332336
"63","he was in hospital near a small town where his grannie lives",1,0.99999725818634
"64","it was lame",1,0.485851049423218
"65","grannie got smaller",0,0.0272093713283539
"66","soilder was wounded in france",0,0.0154558420181274
"67","he was wounded while being in france",0,0.0178022384643555
"68","he became wounded",0,0.0225395262241364
"69","it said he was wounded",0,0.0218414664268494
"70","it said the hospital was lame",0,0.981694757938385
"71","broke out and he became a soldier in france",0,0.0213927924633026
