"","validationtext","y_val","predictions"
"1","he was seing things",0,0.843049168586731
"2","the poet went to a hospital that his grannie was near by to",1,0.997544050216675
"3","he was whonded",0,0.0383908450603485
"4","that he had to go to a hospital instead of fighting",1,0.902144432067871
"5","his granny was living in the village that he was in",1,0.994419276714325
"6","the poet had to write to his grannie and ask her to visit him",0,0.0496150255203247
"7","he got close to the town where his granny was",1,0.998868703842163
"8","sad and heart breaking",0,0.00888916850090027
"9","she was shocked",0,0.0132741928100586
"10","suspense",0,0.0225736498832703
"11","it had brung him to a hospital close to were granny lived",1,0.99979567527771
"12","she was living still",0,0.997549712657928
"13","he was brough closer to the town where his grannie was living in",1,0.99989640712738
"14","they got injured",0,0.0285754501819611
"15","he started to write poems",0,0.0863330364227295
"16","it brought him closer to where his granny was living",1,0.999980807304382
"17","so circumstances could bring him back to where his granny lived",1,0.999997198581696
"18","very lame",1,0.949921548366547
"19","his grannie was sad",0,0.00246021151542664
"20","a soldier got wounded",0,0.000837028026580811
"21","to make it sad",0,0.00102677941322327
"22","he was lame",1,0.920083522796631
"23","it was a dark cold day",0,0.00412428379058838
"24","a soldier was wounded while in france",0,4.57465648651123e-05
"25","s",0,0.01443812251091
"26","the circumstance had brought me close to the small town where she was living still",1,0.999989926815033
"27","back home in hospital",1,0.98788046836853
"28","going back to his grannie's hometown and remembering her",1,0.90846836566925
"29","he forgot his grandmother",0,0.742775678634644
"30","he became a soldier",0,0.00241750478744507
"31","happy because he had to leave the war and go home",1,0.934390425682068
"32","he got to see his nan again",1,0.995114207267761
"33","that they were very lame",1,0.983272969722748
"34","it had brought him to the hospital where his grannie lives",1,0.999895811080933
"35","a solder was wounded",0,0.000523537397384644
"36","he went to a hospital close to his grannie",1,0.998414635658264
"37","she came to visit him",1,0.940360307693481
"38","he had a chance to write to his granny",0,0.0508476197719574
"39","it brought him to the town where grannie lived",1,0.999963223934174
"40","saddness ",0,0.0192166268825531
"41","he went back to the town where his grannie still lived and asked her if she could visit",1,0.944696068763733
"42","that he was back home but in hospital",1,0.998234272003174
