"","validationtext","y_val","predictions"
"1","he would of had to quit his job or find a new house",0,0.117440283298492
"2","that he remembered his grannie it had brought him close to that small town",1,0.0598399639129639
"3","being able to write to grannie",0,0.0910786390304565
"4","because the war broke out",0,0.0218008160591125
"5","his grannie could visit him in hospital",1,0.985781252384186
"6","had to go hospital",1,0.527440905570984
"7","he was drew closer to his grannie",1,0.977754950523376
"8","he didn't change one bit",0,0.046027272939682
"9","wounded ended up in hospitail still very lame",1,0.985157668590546
"10","he got to see his granny again",1,0.989169239997864
"11","he was sent to hospital",1,0.939150094985962
"12","he gots to see his grandma because he was sent home",1,0.991005122661591
"13","she would stand mountainous between me and my fear",0,0.0726454555988312
"14","she could see him again",1,0.991263031959534
"15","one of the effects was him being lame",1,0.968450903892517
"16","vividly recall",0,0.0175558924674988
"17","makes everything turn sad",0,0.0114956200122833
"18","he was in the hospital in a small town where she was livin",1,0.989002108573914
"19","a soldier and was wounded",0,0.0309597849845886
"20","broke",0,0.0250310897827148
"21","he asked her to vist him",0,0.116769790649414
"22","the grannie would be alone",0,0.0227692425251007
"23","granny had to visit him because he couldn't go to her",1,0.955295264720917
"24","he was brought closer to where his grannie lived",1,0.999899327754974
"25","i seized",0,0.0168013274669647
"26","one effect of the peot getting injured is that it creates the tension of his grannie coming to see him in hospital",1,0.994040608406067
"27","the poet ended up where his granny lived",1,0.998898029327393
"28","he could write to grannie",0,0.151727586984634
"29","war broke",0,0.0253878533840179
"30","he got to see his granni again",1,0.98651796579361
"31","he went near the small town she lived in",1,0.998656034469604
"32","the one effect was that ehen hes injured he goes to the town where granny lived",1,0.999418616294861
"33","he was brought close to the small town where his grannie lived",1,0.999980330467224
"34","he could go back home",1,0.996827960014343
"35","he broke down",0,0.0421353876590729
"36","they broke up out an became a solider realised suddenly that cirumstance had brought me close to the twn wher she was sitt living",1,0.989178478717804
"37","it says wounded",0,0.0222905874252319
"38","living near his grannie again",1,0.991169452667236
"39","he was close to his grandmother and she visited him",1,0.969894051551819
"40","that they were very lame",1,0.991879105567932
"41","she smiled",0,0.024000495672226
"42","his grannie came to visit",1,0.722222745418549
"43","that he was in hospital",1,0.97392350435257
"44","broke out",0,0.0159939229488373
"45","he didn't listern",0,0.0524502992630005
"46","back home in hospital still very lame",1,0.993350505828857
"47","he was close to the small town that she was living in",1,0.994723200798035
"48","he got to see he nan",1,0.983258366584778
"49","he was sent to a town near where grannie lived",1,0.999913454055786
"50","it says a soldier was wounded while in france",0,0.0100008845329285
"51","that he was still very lame",1,0.977301359176636
"52","he could ask his grannie if she would see him",0,0.734728217124939
"53","that is was very lame",1,0.964434623718262
"54","good because his grannie came",1,0.987308919429779
"55","he didn't get to see his grannie that often",0,0.871042549610138
"56","he got back home when he was in hospital",1,0.981853604316711
"57","i was wounded",0,0.0120944976806641
"58","frightening",0,0.0308380722999573
"59","it had brought him closer to his grannie",1,0.983708143234253
"60","he forgot his grandmother",0,0.365778237581253
"61","and the poet was wounded while in france",0,0.0240149796009064
"62","so he would see his grannie",1,0.979855597019196
"63","to get punished for once  or hurt",0,0.116912066936493
"64","wouned while in france",0,0.0173445045948029
"65","he was abled to be closer to gran and he remembered her whilst he was closer",1,0.555307030677795
"66","hobbled throug the ward were i lay",0,0.849211990833282
"67","that he realised the circumstance had brought him close to where his grannie lived",1,0.999930858612061
"68","that he got closser to her",1,0.0476768612861633
"69","grannie was small so small",0,0.0142333209514618
"70","that he saw his grannie as an tiny frail lady",1,0.0208409130573273
"71","he was wounded while being in france",0,0.0913722813129425
"72","a soldier and was wounded while in france",0,0.00859123468399048
"73","it made him want to visit and see his gran",0,0.97799551486969
"74","he was lam",1,0.0411446392536163
"75","he realised the circumstances",0,0.0159238278865814
"76","one effect was he got to see his nan",1,0.991474628448486
"77","he as near his granny vilage",1,0.974259734153748
"78","he got put in hospital",1,0.975231409072876
"79","it says he was wounded which means injured",0,0.0285782814025879
"80","it makes you feel sad",0,0.00943031907081604
"81","he got to see his gran again",1,0.992217123508453
"82","he becomes helpless again",0,0.686768770217896
"83","wanting the grannie to come and see him",0,0.991197466850281
"84","w",0,0.0287123024463654
"85","he was wounded and could not walk",1,0.989059329032898
"86","it bought back memorys",0,0.122694224119186
"87","he seized the chance to write to her",0,0.022541344165802
"88","it had brought him close to the small town",0,0.0364201068878174
"89","that it is very sad",0,0.0199211537837982
"90","the poet went to hospital then went home",1,0.985518455505371
"91","to ask to write to her and ask to see if she could visit",0,0.89403247833252
"92","he had to go to hospital because of the war",1,0.200545459985733
"93","it had brung him to a hospital close to were granny lived",1,0.999177217483521
"94","broke out and he became a soldier in france",0,0.149074852466583
"95","he got to visit his grannie",1,0.914414763450623
"96","he was in the hospital during war",1,0.624577820301056
"97","he went to hospital and it was near his grannie",1,0.983060121536255
"98","that he can't write",0,0.0331553220748901
"99","it brought him close to that small town where she was living still",1,0.999488532543182
"100","he could finally see his grannie again",1,0.994798064231873
"101","he was put in a hospital near his grannie was still living",1,0.992323577404022
"102","that he was bored",0,0.0183687508106232
"103","realising the circumstance",0,0.012555330991745
"104","the boy was in  the war he ask if is grany  him",0,0.0912278890609741
"105","fear",0,0.0237627327442169
"106","it brought him closer to the town that grannie lived in",1,0.99914288520813
"107","i broke out and became a soilder",0,0.0295660495758057
"108","to write and ask if she could visit me",0,0.209203630685806
"109","to see his grandmother",1,0.958481073379517
"110","he was given an opertunity to see her again",1,0.986650228500366
"111","the poet could'nt go see there granny",0,0.941000878810883
"112","that he was a soldier and there was a war",0,0.0267791152000427
"113","it was upsetting",0,0.012965977191925
"114","that he was wounded while in france",0,0.020523726940155
"115","to see his grannie",1,0.965843319892883
"116","he goes back to his home town's hospital",1,0.992641448974609
"117","the effect was still remembering her",0,0.0542106032371521
"118","that he got to see his grannie again",1,0.9944828748703
"119","it made the man get closer to the little town where his grannie lived",1,0.999936461448669
"120","he was near the place his grannie was living",1,0.977731347084045
"121","seeing the poets grannie again",1,0.745456278324127
"122","it made the story more dark and sad",0,0.0128028392791748
"123","good because he got to see his granny again",1,0.99019467830658
"124","he could not stop thinking about his grannie",0,0.0881922841072083
"125","in hospital still very lame",1,0.992515802383423
"126","he brang back to england and near his grannie",1,0.994022488594055
"127","because it was lame at the hospital",0,0.96886420249939
"128","he got clocer to home",1,0.968997120857239
"129","it had brought him close to a small town where she lived",1,0.999979972839355
"130","he told his granny to come and visit him in the hospital",1,0.943081200122833
"131","he started to write poems",0,0.123663872480392
"132","he had to go to hospital which brought him close to the town where his grannie lived",1,0.999985456466675
"133","he broke out",0,0.0218081772327423
"134","it makes him see his grannie again",1,0.986304759979248
"135","that when he was in hospital he was near his grannie",1,0.991596698760986
"136","because it says years later war broke out and i became a soldier and was wounded while in france",0,0.0114670395851135
"137","his grannie visited him and took him home",1,0.983166217803955
"138","that he wounded while in france",0,0.0174389183521271
"139","that he would be able to see his gran again",1,0.986781597137451
"140","he went to a hospital near his granny",1,0.985239446163177
"141","the effect is he had to go to hospital",1,0.933715224266052
"142","he was close to his grannies town",1,0.989458024501801
"143","his gran lived there",1,0.989387810230255
"144","because she was very mean",0,0.551608562469482
"145","she srunk",0,0.101534932851791
"146","wonded",0,0.0296803116798401
"147","and was wounded",0,0.0424920320510864
"148","he went to a hospital near to where his gran lived",1,0.999853253364563
"149","he was brought to where his grannie lived",1,0.999878704547882
"150","broke out and became a solder",0,0.0249976515769958
"151","him getting wonded in france",0,0.0389552712440491
"152","he was back home in hospital was still very lame",1,0.98936539888382
"153","he rememberd that he was not alone",0,0.040463387966156
"154","he was sent near his grannie",1,0.984389901161194
"155","he got to come home",1,0.987978219985962
"156","he had gone back to that small town where she was still living",1,0.999195158481598
"157","i knew that",0,0.0233576595783234
"158","sad makes you think what will grannie think",0,0.0486548840999603
"159","that he saw his real granny",1,0.941373705863953
"160","he was home",1,0.754335761070251
"161","his grannie came to see him",1,0.954916477203369
"162","because he was back home in hospital",1,0.995467603206635
"163","that his grannie was very small",0,0.0345079302787781
"164","that he was in the same town where his nan was living",1,0.998422265052795
"165","feel very lame",1,0.956124663352966
"166","he moved near granny",1,0.301618933677673
"167","to get back home",1,0.988643646240234
"168","he couldn't visit his grannie",0,0.176628708839417
"169","that he missed time with his grannie",0,0.796180784702301
"170","sorry for him",0,0.0138041973114014
"171","he couldn't visit grannie she had to visit him",1,0.159946799278259
"172","he got to ask grannie to visit",0,0.119851976633072
"173","that circumstance had brought him close to that small town where is grannie was still living",1,0.995071172714233
"174","he wrote to his grandma asking to visit",0,0.376425802707672
"175","the poet got to see his grannie",1,0.988530278205872
"176","he's in hospital still very lame",1,0.995000660419464
"177","he went back to the town she was living in",1,0.997664034366608
"178","because he said i realised suddenly that circumstance had brought me close to that small town were she lived still",1,0.999279260635376
"179","he went back home",1,0.990227460861206
"180","he felf said becase he got ctusted from the war",0,0.0442797541618347
"181","that he needed his grannie to help him",0,0.0603713691234589
"182","he was close to town where his granny was and living still",1,0.997794449329376
"183","he got very lame",1,0.969956278800964
"184","i think because he was back home in hospital",1,0.991214275360107
"185","she remembered his granny",0,0.0332710146903992
"186","i believe its because this might also be about world war i or ii",0,0.0533253252506256
"187","they broke out",0,0.0254360437393188
"188","critumstance",0,0.0344438254833221
"189","his hospital is near where she is living",1,0.997242271900177
"190","he did not get to see his grannie",0,0.991368174552917
"191","wounded and lame",1,0.384062349796295
"192","he had to go to the hospital",1,0.961371302604675
"193","he was home in hospital",1,0.982957541942596
"194","he went to hospital",1,0.96244740486145
"195","war breaking out",0,0.0180219411849976
"196","it adds a sadness to the poem",0,0.0123681426048279
"197","alliteration",0,0.0406550168991089
"198","he was injured in france",0,0.0431402623653412
"199","realized cirumstane had brought him close to that small town",0,0.0348961651325226
"200","he went to the hospital",1,0.968220114707947
"201","he was sent to the hopital in the town where his grandma lived",1,0.999913573265076
"202","he was in a hospital back home",1,0.995734691619873
"203","it was very boring lame and gloomy",0,0.143213003873825
"204","that he got to see his grannie",1,0.991894364356995
"205","he came back to the town where his gran was",1,0.997239470481873
"206","that the hospital was near where his grannie lived",1,0.999810338020325
"207","happy because he had to leave the war and go home",1,0.9941246509552
"208","worried for him",0,0.0253606736660004
"209","he could get to see his granny again",1,0.991898536682129
"210","he got to see her",1,0.862786948680878
"211","the circumstances",0,0.0189224779605865
"212","he didnent feel safe",0,0.216570734977722
"213","he went to hospital it was still very lame",1,0.990007638931274
"214","so she could see him and make him happy",1,0.275803565979004
"215","grannie became frail and small",0,0.0172170996665955
"216","the effect was he went to a hospital after war",1,0.931405007839203
"217","back in hospital",1,0.98247492313385
"218","saded",0,0.0299432575702667
"219","one effect was that he was wounded",0,0.0188824832439423
"220","he was wounded and went back home to hospital",1,0.992335796356201
"221","it was shocking",0,0.0294940769672394
"222","his grannie wasn't there for him at that time",0,0.944683611392975
"223","he got closer to home",1,0.991616368293762
"224","realised she was there",0,0.030316025018692
"225","years later a war broke out and i was a soldier and was wounded",0,0.0699280202388763
"226","that it bought him close to his granny",1,0.928216278553009
